Year,District,Crime,Cases
2017,Dhule,Attempts to Commit Suicide,54.0
2017,Gadchiroli,Attempts to Commit Suicide,67.0
2017,Gondia,Attempts to Commit Suicide,29.0
2017,Hingoli,Attempts to Commit Suicide,50.0
2017,Jalgaon,Attempts to Commit Suicide,64.0
2017,Jalna,Attempts to Commit Suicide,77.0
2017,Kolhapur,Attempts to Commit Suicide,99.0
2017,Latur,Attempts to Commit Suicide,40.0
2017,Mumbai,Attempts to Commit Suicide,205.0
2017,Nagpur,Attempts to Commit Suicide,113.0
2017,Nanded,Attempts to Commit Suicide,78.0
2017,Nandurbar,Attempts to Commit Suicide,33.0
2017,Nashik,Attempts to Commit Suicide,103.0
2017,Dharashiv,Attempts to Commit Suicide,28.0
2017,Palghar,Attempts to Commit Suicide,39.0
2017,Parbhani,Attempts to Commit Suicide,61.0
2017,Pune,Attempts to Commit Suicide,361.0
2017,Raigad,Attempts to Commit Suicide,25.0
2017,Ratnagiri,Attempts to Commit Suicide,4.0
2017,Sangli,Attempts to Commit Suicide,81.0
2017,Satara,Attempts to Commit Suicide,71.0
2017,Sindhudurg,Attempts to Commit Suicide,6.0
2017,Solapur,Attempts to Commit Suicide,102.0
2017,Thane,Attempts to Commit Suicide,182.0
2017,Wardha,Attempts to Commit Suicide,37.0
2017,Washim,Attempts to Commit Suicide,47.0
2017,Yavatmal,Attempts to Commit Suicide,59.0
2018,Ahilyanagar,Attempts to Commit Suicide,195.0
2018,Akola,Attempts to Commit Suicide,63.0
2018,Amravati,Attempts to Commit Suicide,89.0
2018,Chh. Sambhaji Nagar,Attempts to Commit Suicide,113.0
2018,Beed,Attempts to Commit Suicide,117.0
2018,Bhandara,Attempts to Commit Suicide,16.0
2018,Buldhana,Attempts to Commit Suicide,79.0
2018,Chandrapur,Attempts to Commit Suicide,21.0
2018,Dhule,Attempts to Commit Suicide,46.0
2018,Gadchiroli,Attempts to Commit Suicide,58.0
2018,Gondia,Attempts to Commit Suicide,21.0
2018,Hingoli,Attempts to Commit Suicide,35.0
2018,Jalgaon,Attempts to Commit Suicide,86.0
2018,Jalna,Attempts to Commit Suicide,71.0
2018,Kolhapur,Attempts to Commit Suicide,145.0
2018,Latur,Attempts to Commit Suicide,45.0
2018,Mumbai,Attempts to Commit Suicide,295.0
2018,Nagpur,Attempts to Commit Suicide,100.0
2018,Nanded,Attempts to Commit Suicide,70.0
2018,Nandurbar,Attempts to Commit Suicide,27.0
2018,Nashik,Attempts to Commit Suicide,133.0
2018,Dharashiv,Attempts to Commit Suicide,58.0
2018,Palghar,Attempts to Commit Suicide,55.0
2018,Parbhani,Attempts to Commit Suicide,89.0
2018,Pune,Attempts to Commit Suicide,366.0
2018,Raigad,Attempts to Commit Suicide,20.0
2018,Ratnagiri,Attempts to Commit Suicide,17.0
2018,Sangli,Attempts to Commit Suicide,165.0
2018,Satara,Attempts to Commit Suicide,71.0
2018,Sindhudurg,Attempts to Commit Suicide,17.0
2018,Solapur,Attempts to Commit Suicide,136.0
2018,Thane,Attempts to Commit Suicide,217.0
2018,Wardha,Attempts to Commit Suicide,36.0
2018,Washim,Attempts to Commit Suicide,40.0
2018,Yavatmal,Attempts to Commit Suicide,50.0
2019,Ahilyanagar,Attempts to Commit Suicide,7.0
2019,Akola,Attempts to Commit Suicide,1.0
2019,Amravati,Attempts to Commit Suicide,11.0
